1,0,0
2,1,5
3,1,3
4,1,4
5,0,0
6,0,0
7,1,4
8,0,0
9,0,0
10,1,1
11,1,5
12,0,0
13,0,0
14,1,6
15,1,3
16,1,5
17,1,1
18,1,5
19,0,0
20,0,0
21,1,5
22,1,1
23,1,3
24,1,3
25,1,1
26,1,4
27,0,0
28,1,5
29,1,1
30,0,0
31,1,3
32,1,4
33,0,0
34,1,1
35,0,0
36,0,0
37,1,3
38,1,4
39,1,5
40,1,4
41,1,5
42,1,4
43,1,2
44,1,4
45,0,0
46,1,4
47,1,4
48,1,1
49,1,5
50,0,0
51,0,0
52,0,0
53,1,1
54,1,4
55,1,4
56,1,4
57,0,0
58,0,0
59,1,1
60,1,3
61,0,0
62,0,0
63,1,3
64,1,3
65,1,4
66,1,3
67,1,4
68,0,0
69,1,1
70,1,1
71,1,4
72,1,1
73,1,4
74,1,4
75,1,3
76,1,4
77,0,0
78,0,0
79,0,0
80,0,0
81,1,6
82,1,3
83,1,3
84,0,0
85,0,0
86,0,0
87,1,4
88,1,4
89,0,0
90,1,5
91,1,3
92,1,4
93,0,0
94,0,0
95,1,3
96,0,0
97,0,0
98,0,0
99,0,0
100,1,1
101,0,0
102,1,4
103,1,4
104,1,1
105,1,1
106,0,0
107,1,1
108,0,0
109,0,0
110,1,3
111,1,3
112,1,5
113,1,5
114,1,5
115,1,5
116,1,3
117,0,0
118,1,5
119,1,3
120,1,1
121,1,5
122,0,0
123,0,0
124,0,0
125,1,5
126,0,0
127,1,5
128,1,4
129,0,0
130,0,0
131,1,5
132,1,5
133,1,5
134,1,3
135,1,5
136,1,4
137,1,4
138,1,4
139,0,0
140,1,3
141,1,3
142,0,0
143,1,3
144,1,4
145,1,4
146,1,5
147,1,5
148,1,4
149,1,3
150,0,0
151,0,0
152,1,4
153,1,5
154,0,4
155,1,1
156,0,0
157,1,3
158,0,0
159,1,5
160,1,3
161,0,0
162,1,4
163,1,4
164,1,4
165,0,0
166,0,0
167,1,5
168,1,3
169,0,0
170,1,6
171,1,1
172,1,4
173,1,4
174,0,0
175,0,0
176,0,0
177,0,0
178,1,3
179,1,4
180,1,5
181,0,0
182,0,0
183,0,0
184,1,1
185,1,6
186,1,1
187,1,1
188,1,5
189,0,0
190,1,3
191,1,3
192,0,0
193,1,5
194,0,0
195,1,3
196,1,5
197,1,4
198,0,0
199,0,0
200,0,0
201,1,1
202,0,0
203,0,0
204,1,1
205,1,6
206,0,0
207,1,4
208,1,5
209,1,4
210,0,0
211,0,0
212,1,4
213,1,5
214,0,0
215,0,0
216,1,3
217,1,3
218,0,4
219,1,4
220,0,0
221,1,5
222,1,3
223,0,0
224,1,5
225,0,0
226,1,1
227,0,0
228,1,4
229,1,3
230,1,3
231,0,0
232,0,0
233,1,5
234,1,4
235,1,5
236,1,5
237,1,4
238,0,0
239,1,6
240,1,1
241,0,0
242,1,4
243,1,5
244,1,5
245,0,0
246,0,0
247,1,4
248,1,3
249,1,5
250,1,3
251,1,2
252,1,1
253,1,5
254,0,0
255,1,1
256,1,5
257,0,0
258,0,0
259,0,0
260,0,0
261,1,5
262,1,4
263,1,4
264,0,0
