,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
11,,1,16,14,,,4,,,,0,77,,,5569,1177,4,51,2,,,1,1,207,577,2,0,,0,54993,,1,3,,20691,,,126,1,1,0,2,0,8567,4,,1,0,59439,1587,,,,1277,0,6,0,,,369,210,,,54,446,0,614,0,,438,3312,141,72,0,0,18,3,,,,,0,487,5213,,,,0,0,,1,11498,0,,,317,,,,,253,,1,0,0,374,,56,,,337,23,12,3,17,15,109,,11353,42544,1,1446,,,,39,,424,0,,,10,1,28,22,162,0,0,7,,54,94,,173,1,0,1,0,0,11,,,7,0,,9706,,58,,0,20,,30,2,28,,,0,1441,,954,61,0,5,,,,,729,1,1,,,,1102,0,76709,23658,47,,972,961,,5,,284,1527,0,,,,0,,,0,0,,0,16,0,,,0,2,,,326,0,,1219,,926,45585,,2,,1,,0,1355,4915,,,1,0,12,0,0,,0,4,,10,747,1,,,0,845,16,4437,59707,18769,6,,2906,2,,,,,0,1,0
12,,0,0,0,,,0,,,,45,0,,,120,295,29477,0,0,,,0,0,1359,1900,0,0,,0,0,,0,0,,6,,,144,0,0,0,0,0,343,0,,0,0,4,0,,,,0,0,0,0,,,1,0,,,129,389,0,61,0,,0,3,17,0,0,0,80,0,,,,,0,47,1597,,,,0,0,,2331,1259,0,,,1379,,,,,0,,0,0,0,0,,0,,,18,3,0,0,834,2,5,,30,121,0,0,,,,10,,3524,0,,,0,234,0,77,80,0,0,15,,51,0,,0,0,0,0,0,0,3,,,0,0,,14,,3,,0,0,,0,0,5,,,0,123,,0,0,0,0,,,,,72,0,0,,,,0,0,0,0,11,,195,9,,0,,12,92190,0,,,,0,,,0,0,,0,8,0,,,0,0,,,0,0,,1,,0,792,,0,,0,,0,457,70,,,21,0,0,0,0,,0,0,,0,941,730,,,0,9438,1,160,7274,0,686,,3,0,,,,,0,0,0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,3179,337,188,,,77,,,,1823,180,,,0,8429,72,68,194,,,3155,59,599,3035,7,7,,163,155,,3871,362,,2639,,,985,3,2465,208,3610,32,17533,3,,19,80,4716,46235,,,,1549,0,131,306,,,77,9068,,,3669,2644,57,2844,15,,35,453,5099,1098,0,385,339,949,,,,,6688,3518,6723,,,,6,10,,56,34664,490,,,18010,,,,,81,,87,1,52,17,,27,,,3442,145,37518,9247,4576,5349,9026,,2039,31203,117,7896,,,,779,,2864,1659,,,530,49,1064,682,9759,20,311,345,,343,473,,5811,31,148,16562,55,8,6816,,,1,3085,,800,,134,,118,708,,227,126,392,,,2924,14445,,67433,87,0,485,,,,,2918,305,3715,,,,135,1127,55,1224,22142,,7886,2313,,272,,2198,8069,65,,,,13,,,4,1691,,0,2275,46,,,383,9362,,,1913,100,,23698,,11144,4307,,9655,,12,,85,3454,9382,,,23,407,6120,675,34,,790,185,,92,15977,18,,,318,2896,1058,174556,39201,1182,227,,540,25842,,,,,90,1067,4086
16,,717,230,127,,,35,,,,282,275,,,3151,0,131,13,6,,,218,2,223,1061,4,8,,2,69,,12146,4,,1166,,,1817,11,6,9,88,62,4389,3,,14,2,397,1718,,,,186,0,43,75,,,35,6160,,,139,6829,20,666,1,,316,228,1539,7,1,11,63,109,,,,,1,483,3175,,,,3,53,,269,92467,227,,,791,,,,,37,,29,6,1,75,,10,,,7285,37,1248,110,1535,467,231,,923,6541,16,394,,,,100,,278,89,,,31,70,10,99,187,1,24,99,,86,420,,2051,8,4,50,3,9,50,,,3,11,,212,,175,,173,2123,,175,7,183,,,51,1935,,216,22,3,702,,,,,624,10,485,,,,33,6,21,182,1371,,7508,267,,12,,5931,4717,18,,,,1,,,1,0,,0,95,29,,,25,31,,,2785,0,,1898,,6,1817,,80,,2,,3,1451,19288,,,48,14,490,0,20,,0,6,,360,25314,19,,,24,970,56,5479,8265,27,112,,199,343,,,,,11,12,29
17,,18,0,0,,,0,,,,3,24990,,,63,139,0,0,0,,,0,0,2102,806,0,0,,0,0,,0,0,,0,,,221,0,0,0,0,0,362,0,,0,0,2,0,,,,0,0,0,0,,,0,0,,,35,239,0,37,0,,0,0,5,0,0,0,245,0,,,,,0,51,514,,,,0,0,,5009,2287,0,,,233,,,,,0,,0,0,0,0,,0,,,19,3,0,0,1346,0,6,,1386,103,0,0,,,,0,,7418,0,,,0,828,0,235,0,0,0,1,,95,0,,0,0,0,0,0,0,0,,,0,0,,2,,148,,0,0,,0,0,0,,,0,116,,0,0,0,0,,,,,82,0,1,,,,0,0,0,0,1,,44,9,,0,,8,115973,0,,,,0,,,0,0,,0,0,0,,,0,0,,,0,0,,0,,6,120,,0,,0,,0,441,66,,,57,0,0,0,0,,0,0,,0,2299,1115,,,0,12817,0,330,2486,0,4436,,0,0,,,,,0,0,0
18,,0,0,0,,,0,,,,11,0,,,68,9,0,0,0,,,0,29,0,4,4,0,,0,0,,0,2,,17,,,3,0,0,0,0,0,503,0,,0,0,5,18,,,,20,0,0,0,,,7,0,,,0,0,0,7,0,,127,16,5,6,0,0,2,0,,,,,0,4,43,,,,0,0,,0,36,5,,,12,,,,,4,,0,0,94,2656,,4,,,1,4,58,3,0,0,9,,1,31,671,5,,,,0,,1,2,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,,18,,0,,0,0,,0,0,9,,,0,13,,3,9,0,14,,,,,8,0,0,,,,6,0,0,31,113,,2,2,,0,,9,8,0,,,,9,,,3,0,,0,1,0,,,0,0,,,0,0,,13,,0,22,,3,,2,,1,7,58,,,0,0,0,0,0,,0,37,,0,1,0,,,1,3,1,480,6948,2,0,,6,0,,,,,0,0,2
19,,1540,0,16,,,0,,,,3,1,,,1171,89,0,3,0,,,12573,1,1,63,1,0,,1,0,,0,5,,21,,,38,0,1,0,0,0,1588,0,,62,531,20,47,,,,2,0,8,32,,,0,1,,,69,19,0,81,1,,9,6,9318,0,0,207,1,913,,,,,2,58,382,,,,0,0,,0,264,0,,,43,,,,,1,,1,0,0,0,,0,,,14,2,33797,3020,13,102,56,,48,254,1,155,,,,2592,,47,36,,,1227,0,0,0,1118,1,0,125,,0,4,,0,0,0,459,4,0,6,,,0,1,,102,,0,,0,0,,87,2,21,,,268,176,,79,0,0,137,,,,,113,1884,9706,,,,3,1,0,0,5688,,12,8,,453,,20,17,0,,,,0,,,0,0,,0,1433,0,,,0,256,,,1,0,,268,,77,73,,1080,,0,,0,161,197,,,1,0,118,0,0,,0,1,,62,2707,0,,,12,6,947,3375,1852,0,0,,2,8,,,,,1936,1,0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
